goos: linux
goarch: amd64
pkg: github.com/zchee/gows/bench
cpu: Intel(R) Xeon(R) Platinum 8481C CPU @ 2.70GHz
BenchmarkMaskCoder/1KB-20           	23208814	        51.66 ns/op	19820.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/1KB-20           	23218632	        51.67 ns/op	19817.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/1KB-20           	23222552	        51.67 ns/op	19817.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/1KB-20           	23204538	        51.66 ns/op	19820.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/4KB-20           	 6095898	       196.8 ns/op	20809.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/4KB-20           	 6097926	       196.8 ns/op	20812.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/4KB-20           	 6097928	       196.8 ns/op	20811.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/4KB-20           	 6092750	       196.9 ns/op	20806.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/4KB-20           	 6096097	       196.9 ns/op	20806.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/4KB-20           	 6096849	       196.8 ns/op	20810.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/4KB-20           	 6094406	       196.9 ns/op	20803.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/4KB-20           	 6098414	       196.8 ns/op	20814.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/4KB-20           	 6096810	       196.8 ns/op	20811.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/4KB-20           	 6095090	       196.9 ns/op	20803.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/16KB-20          	 1547666	       775.3 ns/op	21131.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/16KB-20          	 1547766	       775.3 ns/op	21131.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/16KB-20          	 1547808	       775.3 ns/op	21132.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/16KB-20          	 1547240	       775.5 ns/op	21125.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/16KB-20          	 1547688	       775.4 ns/op	21129.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/16KB-20          	 1547742	       775.3 ns/op	21131.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/16KB-20          	 1547629	       775.3 ns/op	21132.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/16KB-20          	 1547307	       775.4 ns/op	21129.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/16KB-20          	 1547152	       775.5 ns/op	21125.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/16KB-20          	 1547568	       775.4 ns/op	21130.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64KB-20          	  386820	      3100 ns/op	21137.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64KB-20          	  386732	      3102 ns/op	21129.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64KB-20          	  386593	      3101 ns/op	21136.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64KB-20          	  386583	      3101 ns/op	21135.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64KB-20          	  386864	      3101 ns/op	21137.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64KB-20          	  386726	      3101 ns/op	21130.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64KB-20          	  386954	      3100 ns/op	21137.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64KB-20          	  387007	      3101 ns/op	21137.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64KB-20          	  386409	      3101 ns/op	21131.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64KB-20          	  386820	      3102 ns/op	21130.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64B-20             	198349927	         6.078 ns/op	10530.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64B-20             	198595953	         6.051 ns/op	10576.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64B-20             	201594378	         5.908 ns/op	10833.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64B-20             	198736068	         6.046 ns/op	10585.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64B-20             	201233756	         5.956 ns/op	10746.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64B-20             	204150530	         5.965 ns/op	10728.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64B-20             	204543291	         5.873 ns/op	10897.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64B-20             	198061376	         6.080 ns/op	10525.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64B-20             	200302830	         5.972 ns/op	10716.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64B-20             	202315633	         5.945 ns/op	10764.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/256B-20            	130160456	         9.229 ns/op	27738.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/256B-20            	130120706	         9.267 ns/op	27625.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/256B-20            	129295892	         9.264 ns/op	27634.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/256B-20            	130132767	         9.218 ns/op	27772.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/256B-20            	126384290	         9.478 ns/op	27009.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/256B-20            	128887321	         9.295 ns/op	27542.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/256B-20            	126213475	         9.456 ns/op	27072.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/256B-20            	128367889	         9.329 ns/op	27442.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/256B-20            	129944968	         9.242 ns/op	27698.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/256B-20            	129023254	         9.286 ns/op	27567.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/1KB-20             	37749601	        31.66 ns/op	32343.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/1KB-20             	37600572	        31.59 ns/op	32417.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/1KB-20             	35950568	        31.68 ns/op	32327.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/1KB-20             	38173224	        31.79 ns/op	32208.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/1KB-20             	38290033	        31.54 ns/op	32463.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/1KB-20             	37820611	        31.63 ns/op	32375.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/1KB-20             	37093021	        31.79 ns/op	32212.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/1KB-20             	37465504	        31.56 ns/op	32444.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/1KB-20             	38291390	        31.89 ns/op	32112.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/1KB-20             	35333690	        31.72 ns/op	32280.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/4KB-20             	 9991374	       120.1 ns/op	34101.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/4KB-20             	 9985520	       120.1 ns/op	34092.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/4KB-20             	 9952690	       120.5 ns/op	33998.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/4KB-20             	 9981757	       120.1 ns/op	34092.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/4KB-20             	 9957648	       120.5 ns/op	33999.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/4KB-20             	 9988065	       120.1 ns/op	34097.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/4KB-20             	 9949260	       120.5 ns/op	33987.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/4KB-20             	 9943808	       120.5 ns/op	33998.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/4KB-20             	 9958988	       120.5 ns/op	33996.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/4KB-20             	 9953749	       120.5 ns/op	33987.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/16KB-20            	 2477526	       484.3 ns/op	33830.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/16KB-20            	 2477503	       484.2 ns/op	33834.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/16KB-20            	 2477516	       484.3 ns/op	33833.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/16KB-20            	 2477992	       484.2 ns/op	33838.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/16KB-20            	 2478338	       484.2 ns/op	33837.21 MB/s	       0 B/op	       0 allocs/op
