goos: darwin
goarch: arm64
pkg: github.com/zchee/gows/bench
cpu: Apple M3 Max
BenchmarkDeflateEncode/stdlib/level1/repetitive/256B-16       	  407179	      2978 ns/op	  85.97 MB/s	         0.2188 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/1KB-16        	  343810	      3496 ns/op	 292.94 MB/s	         0.06348 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/1KB-16        	  355220	      3383 ns/op	 302.69 MB/s	         0.06348 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/1KB-16        	  355971	      3424 ns/op	 299.08 MB/s	         0.06348 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/1KB-16        	  344850	      3452 ns/op	 296.66 MB/s	         0.06348 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/1KB-16        	  343526	      3467 ns/op	 295.34 MB/s	         0.06348 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/1KB-16        	  334062	      3507 ns/op	 292.01 MB/s	         0.06348 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/1KB-16        	  343034	      3474 ns/op	 294.75 MB/s	         0.06348 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/1KB-16        	  349052	      3400 ns/op	 301.22 MB/s	         0.06348 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/1KB-16        	  348262	      3494 ns/op	 293.04 MB/s	         0.06348 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/1KB-16        	  341818	      3461 ns/op	 295.85 MB/s	         0.06348 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/4KB-16        	  236434	      5063 ns/op	 808.95 MB/s	         0.02295 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/4KB-16        	  237128	      5069 ns/op	 808.04 MB/s	         0.02295 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/4KB-16        	  236312	      5057 ns/op	 810.01 MB/s	         0.02295 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/4KB-16        	  236002	      5041 ns/op	 812.58 MB/s	         0.02295 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/4KB-16        	  236378	      5073 ns/op	 807.38 MB/s	         0.02295 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/4KB-16        	  234321	      5069 ns/op	 808.05 MB/s	         0.02295 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/4KB-16        	  240960	      5040 ns/op	 812.70 MB/s	         0.02295 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/4KB-16        	  237705	      5045 ns/op	 811.89 MB/s	         0.02295 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/4KB-16        	  242281	      5033 ns/op	 813.86 MB/s	         0.02295 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/4KB-16        	  234337	      5028 ns/op	 814.64 MB/s	         0.02295 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/16KB-16       	   94064	     12835 ns/op	1276.46 MB/s	         0.01147 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/16KB-16       	   93855	     12753 ns/op	1284.67 MB/s	         0.01147 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/16KB-16       	   93970	     12992 ns/op	1261.09 MB/s	         0.01147 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/16KB-16       	   93159	     12832 ns/op	1276.81 MB/s	         0.01147 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/16KB-16       	   94491	     12634 ns/op	1296.77 MB/s	         0.01147 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/16KB-16       	   96027	     12594 ns/op	1300.91 MB/s	         0.01147 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/16KB-16       	   92736	     12831 ns/op	1276.88 MB/s	         0.01147 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/16KB-16       	   93925	     12818 ns/op	1278.24 MB/s	         0.01147 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/16KB-16       	   94248	     12758 ns/op	1284.24 MB/s	         0.01147 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/16KB-16       	   94300	     12770 ns/op	1283.04 MB/s	         0.01147 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/256B-16         	   70350	     16901 ns/op	  15.15 MB/s	         0.5312 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/256B-16         	   71235	     16929 ns/op	  15.12 MB/s	         0.5312 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/256B-16         	   73650	     16786 ns/op	  15.25 MB/s	         0.5312 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/256B-16         	   70064	     16907 ns/op	  15.14 MB/s	         0.5312 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/256B-16         	   73653	     16749 ns/op	  15.28 MB/s	         0.5312 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/256B-16         	   71252	     16845 ns/op	  15.20 MB/s	         0.5312 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/256B-16         	   70556	     16955 ns/op	  15.10 MB/s	         0.5312 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/256B-16         	   70952	     16840 ns/op	  15.20 MB/s	         0.5312 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/256B-16         	   71533	     16810 ns/op	  15.23 MB/s	         0.5312 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/256B-16         	   72204	     16823 ns/op	  15.22 MB/s	         0.5312 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/1KB-16          	   57889	     20949 ns/op	  48.88 MB/s	         0.2559 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/1KB-16          	   58456	     20702 ns/op	  49.46 MB/s	         0.2559 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/1KB-16          	   57829	     20738 ns/op	  49.38 MB/s	         0.2559 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/1KB-16          	   57799	     20713 ns/op	  49.44 MB/s	         0.2559 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/1KB-16          	   57728	     20759 ns/op	  49.33 MB/s	         0.2559 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/1KB-16          	   57746	     20733 ns/op	  49.39 MB/s	         0.2559 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/1KB-16          	   57841	     20688 ns/op	  49.50 MB/s	         0.2559 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/1KB-16          	   58574	     20565 ns/op	  49.79 MB/s	         0.2559 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/1KB-16          	   58711	     20569 ns/op	  49.78 MB/s	         0.2559 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/1KB-16          	   57470	     20690 ns/op	  49.49 MB/s	         0.2559 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/4KB-16          	   33853	     35762 ns/op	 114.54 MB/s	         0.1748 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/4KB-16          	   33939	     35569 ns/op	 115.16 MB/s	         0.1748 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/4KB-16          	   33729	     35605 ns/op	 115.04 MB/s	         0.1748 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/4KB-16          	   33771	     35682 ns/op	 114.79 MB/s	         0.1748 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/4KB-16          	   33849	     35737 ns/op	 114.62 MB/s	         0.1748 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/4KB-16          	   32709	     36282 ns/op	 112.89 MB/s	         0.1748 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/4KB-16          	   32828	     35965 ns/op	 113.89 MB/s	         0.1748 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/4KB-16          	   33787	     35825 ns/op	 114.33 MB/s	         0.1748 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/4KB-16          	   33813	     35841 ns/op	 114.28 MB/s	         0.1748 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/4KB-16          	   33728	     35972 ns/op	 113.87 MB/s	         0.1748 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/16KB-16         	   10000	    103021 ns/op	 159.04 MB/s	         0.1487 ratio	       1 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/16KB-16         	   10000	    103980 ns/op	 157.57 MB/s	         0.1487 ratio	       1 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/16KB-16         	   10000	    102538 ns/op	 159.78 MB/s	         0.1487 ratio	       1 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/16KB-16         	   10000	    104067 ns/op	 157.44 MB/s	         0.1487 ratio	       1 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/16KB-16         	   10000	    103315 ns/op	 158.58 MB/s	         0.1487 ratio	       1 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/16KB-16         	   10000	    105220 ns/op	 155.71 MB/s	         0.1487 ratio	       1 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/16KB-16         	   10000	    103537 ns/op	 158.24 MB/s	         0.1487 ratio	       1 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/16KB-16         	   10000	    102844 ns/op	 159.31 MB/s	         0.1487 ratio	       1 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/16KB-16         	   10000	    104276 ns/op	 157.12 MB/s	         0.1487 ratio	       1 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/16KB-16         	   10000	    104125 ns/op	 157.35 MB/s	         0.1487 ratio	       1 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/random/256B-16           	   44707	     26717 ns/op	   9.58 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/random/256B-16           	   45326	     26677 ns/op	   9.60 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/random/256B-16           	   44935	     26826 ns/op	   9.54 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/random/256B-16           	   44984	     26628 ns/op	   9.61 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/random/256B-16           	   44852	     26788 ns/op	   9.56 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/random/256B-16           	   45427	     26817 ns/op	   9.55 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/random/256B-16           	   45032	     26733 ns/op	   9.58 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/random/256B-16           	   45339	     26728 ns/op	   9.58 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
