goos: linux
goarch: amd64
pkg: github.com/zchee/gows/bench
cpu: Intel(R) Xeon(R) Platinum 8481C CPU @ 2.70GHz
BenchmarkDeflateEncode/stdlib/level6/jsonlike/256B-2         	   56792	     21117 ns/op	  12.12 MB/s	         0.5312 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/256B-2         	   56781	     21117 ns/op	  12.12 MB/s	         0.5312 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/256B-2         	   56752	     21127 ns/op	  12.12 MB/s	         0.5312 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/256B-2         	   56721	     21118 ns/op	  12.12 MB/s	         0.5312 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/256B-2         	   56992	     21065 ns/op	  12.15 MB/s	         0.5312 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/1KB-2          	   46963	     25548 ns/op	  40.08 MB/s	         0.2559 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/1KB-2          	   46956	     25559 ns/op	  40.06 MB/s	         0.2559 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/1KB-2          	   47020	     25532 ns/op	  40.11 MB/s	         0.2559 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/1KB-2          	   46976	     25535 ns/op	  40.10 MB/s	         0.2559 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/1KB-2          	   47056	     25522 ns/op	  40.12 MB/s	         0.2559 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/1KB-2          	   46946	     25546 ns/op	  40.08 MB/s	         0.2559 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/1KB-2          	   46993	     25534 ns/op	  40.10 MB/s	         0.2559 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/1KB-2          	   46968	     25572 ns/op	  40.04 MB/s	         0.2559 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/1KB-2          	   46915	     25555 ns/op	  40.07 MB/s	         0.2559 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/1KB-2          	   46912	     25572 ns/op	  40.04 MB/s	         0.2559 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/4KB-2          	   28063	     42633 ns/op	  96.08 MB/s	         0.1748 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/4KB-2          	   28146	     42612 ns/op	  96.12 MB/s	         0.1748 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/4KB-2          	   28143	     42576 ns/op	  96.20 MB/s	         0.1748 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/4KB-2          	   28136	     42618 ns/op	  96.11 MB/s	         0.1748 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/4KB-2          	   28182	     42564 ns/op	  96.23 MB/s	         0.1748 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/4KB-2          	   28206	     42553 ns/op	  96.26 MB/s	         0.1748 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/4KB-2          	   28202	     42473 ns/op	  96.44 MB/s	         0.1748 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/4KB-2          	   28147	     42570 ns/op	  96.22 MB/s	         0.1748 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/4KB-2          	   28136	     42573 ns/op	  96.21 MB/s	         0.1748 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/4KB-2          	   28153	     42580 ns/op	  96.20 MB/s	         0.1748 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/16KB-2         	    5622	    210591 ns/op	  77.80 MB/s	         0.1487 ratio	       2 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/16KB-2         	    5653	    210556 ns/op	  77.81 MB/s	         0.1487 ratio	       2 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/16KB-2         	    5625	    210600 ns/op	  77.80 MB/s	         0.1487 ratio	       2 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/16KB-2         	    5559	    210418 ns/op	  77.86 MB/s	         0.1487 ratio	       2 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/16KB-2         	    5618	    210289 ns/op	  77.91 MB/s	         0.1487 ratio	       2 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/16KB-2         	    5648	    210333 ns/op	  77.90 MB/s	         0.1487 ratio	       2 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/16KB-2         	    5647	    210410 ns/op	  77.87 MB/s	         0.1487 ratio	       2 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/16KB-2         	    5637	    210403 ns/op	  77.87 MB/s	         0.1487 ratio	       2 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/16KB-2         	    5634	    210531 ns/op	  77.82 MB/s	         0.1487 ratio	       2 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/16KB-2         	    5624	    210668 ns/op	  77.77 MB/s	         0.1487 ratio	       2 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/random/256B-2           	   33853	     35448 ns/op	   7.22 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/random/256B-2           	   33872	     35431 ns/op	   7.23 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/random/256B-2           	   33872	     35438 ns/op	   7.22 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/random/256B-2           	   33865	     35433 ns/op	   7.22 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/random/256B-2           	   33871	     35434 ns/op	   7.22 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/random/256B-2           	   33860	     35442 ns/op	   7.22 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/random/256B-2           	   33831	     35443 ns/op	   7.22 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/random/256B-2           	   33913	     35371 ns/op	   7.24 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
